,Country,Time,Value
0,Australia,2011,36.1
1,Australia,2012,35.7
2,Australia,2013,35.8
3,Australia,2014,36.3
4,Australia,2015,37.7
5,Australia,2016,36.7
6,Australia,2017,38.7
7,Australia,2018,37.8
8,Austria,2011,27.5
9,Austria,2012,30.1
10,Austria,2013,29.3
11,Austria,2014,30.3
12,Austria,2015,29.7
13,Austria,2016,31.8
14,Austria,2017,31.8
15,Austria,2018,31.6
16,Belgium,2011,29.9
17,Belgium,2012,32.4
18,Belgium,2013,31.4
19,Belgium,2014,31.7
20,Belgium,2015,32.6
21,Belgium,2016,32.7
22,Belgium,2017,33.5
23,Belgium,2018,33.9
24,Canada,2011,37.1
25,Canada,2012,36.4
26,Canada,2013,35.8
27,Canada,2014,35.5
28,Canada,2015,36.3
29,Canada,2017,34.5
30,Canada,2018,35.1
31,Czech Republic,2011,25.8
32,Czech Republic,2012,26.2
33,Czech Republic,2013,27.2
34,Czech Republic,2014,27.9
35,Czech Republic,2015,29.5
36,Czech Republic,2016,25.4
37,Czech Republic,2017,24.6
38,Czech Republic,2018,26.8
39,Denmark,2011,27.8
40,Denmark,2012,28.4
41,Denmark,2013,26.7
42,Denmark,2014,26.0
43,Denmark,2015,26.3
44,Denmark,2016,27.5
45,Denmark,2017,26.3
46,Denmark,2018,26.1
47,Finland,2011,32.0
48,Finland,2012,29.7
49,Finland,2013,29.6
50,Finland,2014,33.7
51,Finland,2015,33.3
52,Finland,2016,34.1
53,Finland,2017,31.3
54,Finland,2018,31.8
55,France,2011,39.3
56,France,2012,39.3
57,France,2013,36.0
58,France,2014,32.7
59,France,2015,31.8
60,France,2016,33.1
61,France,2017,33.4
62,France,2018,34.4
63,Germany,2011,30.3
64,Germany,2012,28.6
65,Germany,2013,28.9
66,Germany,2014,29.0
67,Germany,2015,29.3
68,Germany,2016,29.3
69,Germany,2017,29.2
70,Germany,2018,29.4
71,Greece,2011,23.6
72,Greece,2012,26.0
73,Greece,2013,28.8
74,Greece,2014,28.3
75,Greece,2015,25.7
76,Greece,2016,25.5
77,Greece,2017,29.8
78,Greece,2018,27.5
79,Hungary,2011,40.4
80,Hungary,2012,38.9
81,Hungary,2013,40.8
82,Hungary,2014,39.8
83,Hungary,2015,40.5
84,Hungary,2016,39.4
85,Hungary,2017,39.4
86,Hungary,2018,38.6
87,Iceland,2011,39.8
88,Iceland,2012,39.9
89,Iceland,2013,37.6
90,Iceland,2014,37.2
91,Iceland,2015,38.2
92,Iceland,2016,34.2
93,Iceland,2017,32.4
94,Iceland,2018,41.5
95,Ireland,2011,33.8
96,Ireland,2012,33.2
97,Ireland,2013,33.3
98,Ireland,2014,33.7
99,Ireland,2015,34.6
100,Ireland,2016,36.2
101,Ireland,2017,36.2
102,Ireland,2018,36.0
103,Italy,2011,25.1
104,Italy,2012,26.0
105,Italy,2013,27.0
106,Italy,2014,26.6
107,Italy,2015,26.6
108,Italy,2016,27.7
109,Italy,2017,27.5
110,Italy,2018,27.0
111,Japan,2011,11.7
112,Japan,2012,11.3
113,Japan,2013,10.9
114,Japan,2014,11.4
115,Japan,2016,13.3
116,Japan,2017,12.8
117,Korea,2011,10.1
118,Korea,2012,11.1
119,Korea,2013,11.4
120,Korea,2014,11.1
121,Korea,2015,10.5
122,Korea,2016,9.8
123,Korea,2017,12.3
124,Korea,2018,14.5
125,Luxembourg,2011,24.0
126,Luxembourg,2012,18.0
127,Luxembourg,2013,14.9
128,Luxembourg,2014,22.5
129,Luxembourg,2015,18.2
130,Luxembourg,2016,17.7
131,Luxembourg,2017,18.8
132,Luxembourg,2018,24.5
133,Mexico,2013,35.0
134,Mexico,2014,35.4
135,Mexico,2015,36.0
136,Mexico,2016,36.0
137,Mexico,2017,36.7
138,Mexico,2018,36.0
139,Netherlands,2011,29.3
140,Netherlands,2012,28.8
141,Netherlands,2013,24.6
142,Netherlands,2014,25.5
143,Netherlands,2015,26.0
144,Netherlands,2016,25.4
145,Netherlands,2017,26.6
146,Netherlands,2018,25.7
147,Norway,2011,31.4
148,Norway,2012,32.2
149,Norway,2013,32.9
150,Norway,2014,35.5
151,Norway,2015,36.0
152,Norway,2016,37.9
153,Norway,2017,38.3
154,Norway,2018,35.6
155,Poland,2011,38.0
156,Poland,2012,37.8
157,Poland,2013,37.8
158,Poland,2014,38.8
159,Poland,2015,40.2
160,Poland,2016,41.2
161,Poland,2017,41.2
162,Poland,2018,42.5
163,Portugal,2011,33.4
164,Portugal,2012,35.2
165,Portugal,2013,33.8
166,Portugal,2014,35.1
167,Portugal,2015,32.6
168,Portugal,2016,35.9
169,Portugal,2017,34.3
170,Portugal,2018,34.0
171,Slovak Republic,2011,30.9
172,Slovak Republic,2012,33.1
173,Slovak Republic,2013,32.7
174,Slovak Republic,2014,30.0
175,Slovak Republic,2015,31.3
176,Slovak Republic,2016,35.0
177,Slovak Republic,2017,32.8
178,Slovak Republic,2018,32.1
179,Spain,2011,29.9
180,Spain,2012,30.2
181,Spain,2013,30.8
182,Spain,2014,30.9
183,Spain,2015,31.4
184,Spain,2016,31.2
185,Spain,2017,30.6
186,Spain,2018,32.1
187,Sweden,2011,34.5
188,Sweden,2012,35.5
189,Sweden,2013,35.4
190,Sweden,2014,37.1
191,Sweden,2015,39.5
192,Sweden,2016,39.3
193,Sweden,2017,38.9
194,Sweden,2018,38.1
195,Switzerland,2011,30.7
196,Switzerland,2012,30.5
197,Switzerland,2013,29.8
198,Switzerland,2014,30.8
199,Switzerland,2015,32.3
200,Switzerland,2016,32.8
201,Switzerland,2017,30.4
202,Switzerland,2018,31.7
203,Türkiye,2011,11.0
204,Türkiye,2012,12.1
205,Türkiye,2013,14.4
206,Türkiye,2014,13.4
207,Türkiye,2015,13.2
208,Türkiye,2016,15.1
209,Türkiye,2017,15.0
210,Türkiye,2018,14.8
211,United Kingdom,2011,34.6
212,United Kingdom,2012,34.4
213,United Kingdom,2013,33.9
214,United Kingdom,2014,35.3
215,United Kingdom,2015,35.4
216,United Kingdom,2016,36.0
217,United Kingdom,2017,36.1
218,United Kingdom,2018,36.3
219,United States,2011,38.9
220,United States,2012,39.3
221,United States,2013,38.9
222,United States,2014,38.9
223,United States,2015,39.6
224,United States,2016,39.7
225,United States,2017,40.5
226,United States,2018,40.7
227,Brazil,2011,36.1
228,Brazil,2012,37.2
229,Brazil,2013,37.3
230,Brazil,2014,37.8
231,Brazil,2015,38.5
232,Brazil,2016,39.0
233,Brazil,2017,39.1
234,Brazil,2018,38.7
235,Chile,2011,23.6
236,Chile,2012,24.0
237,Chile,2013,25.0
238,Chile,2014,26.9
239,Chile,2015,27.4
240,Chile,2016,27.4
241,Chile,2017,26.5
242,Chile,2018,27.3
243,Costa Rica,2011,35.2
244,Costa Rica,2012,28.7
245,Costa Rica,2013,36.8
246,Costa Rica,2014,31.9
247,Costa Rica,2015,28.7
248,Costa Rica,2016,34.6
249,Costa Rica,2017,41.0
250,Costa Rica,2018,37.1
251,Estonia,2011,35.4
252,Estonia,2012,31.8
253,Estonia,2013,33.4
254,Estonia,2014,32.6
255,Estonia,2015,31.1
256,Estonia,2016,36.5
257,Estonia,2017,38.9
258,Estonia,2018,36.5
259,India,2012,12.9
260,India,2018,13.7
261,Indonesia,2012,19.3
262,Indonesia,2013,21.6
263,Indonesia,2014,23.5
264,Indonesia,2015,22.4
265,Indonesia,2016,44.8
266,Indonesia,2017,27.5
267,Israel,2011,35.5
268,Israel,2012,32.2
269,Israel,2013,32.8
270,Israel,2014,32.9
271,Israel,2015,32.3
272,Israel,2016,34.2
273,Israel,2017,34.6
274,Latvia,2011,45.5
275,Latvia,2012,45.8
276,Latvia,2013,43.8
277,Latvia,2014,44.1
278,Latvia,2015,44.3
279,Latvia,2016,47.2
280,Latvia,2017,46.3
281,Latvia,2018,44.9
282,Lithuania,2011,39.1
283,Lithuania,2012,38.9
284,Lithuania,2013,39.6
285,Lithuania,2014,38.6
286,Lithuania,2015,39.6
287,Lithuania,2016,39.4
288,Lithuania,2017,39.3
289,Lithuania,2018,39.2
290,Russia,2011,39.5
291,Russia,2012,39.1
292,Russia,2013,38.4
293,Russia,2014,38.1
294,Russia,2015,38.7
295,Russia,2016,42.0
296,Russia,2017,41.3
297,Russia,2018,41.8
298,Slovenia,2011,38.4
299,Slovenia,2012,39.0
300,Slovenia,2013,37.0
301,Slovenia,2014,37.5
302,Slovenia,2015,37.4
303,Slovenia,2016,40.8
304,Slovenia,2017,41.2
305,Slovenia,2018,38.5
306,South Africa,2011,31.0
307,South Africa,2012,31.1
308,South Africa,2013,30.0
309,South Africa,2014,31.1
310,South Africa,2015,30.8
311,South Africa,2016,31.6
312,South Africa,2017,32.1
313,South Africa,2018,30.5
314,OECD - Average,2011,31.2
315,OECD - Average,2012,31.0
316,OECD - Average,2013,30.9
317,OECD - Average,2014,31.2
318,OECD - Average,2015,31.3
319,OECD - Average,2016,32.1
320,OECD - Average,2017,32.3
321,OECD - Average,2018,33.0
322,Australia,2019,39.2
323,Austria,2019,33.2
324,Belgium,2019,32.7
325,Canada,2019,35.3
326,Czech Republic,2019,26.8
327,Denmark,2019,26.8
328,Finland,2019,36.9
329,France,2019,34.7
330,Germany,2019,29.4
331,Greece,2019,28.0
332,Hungary,2019,38.9
333,Iceland,2019,41.9
334,Ireland,2019,35.3
335,Italy,2019,27.8
336,Korea,2019,15.4
337,Luxembourg,2019,25.8
338,Mexico,2019,36.0
339,Netherlands,2019,27.1
340,Norway,2019,34.5
341,Poland,2019,43.1
342,Portugal,2019,37.2
343,Slovak Republic,2019,33.7
344,Spain,2019,33.2
345,Sweden,2019,40.3
346,Switzerland,2019,33.5
347,Türkiye,2019,16.2
348,United Kingdom,2019,36.8
349,United States,2019,40.7
350,Brazil,2019,38.4
351,Chile,2019,29.9
352,Costa Rica,2019,40.5
353,Estonia,2019,37.8
354,India,2019,14.6
355,Indonesia,2019,29.6
356,Latvia,2019,45.8
357,Lithuania,2019,39.2
358,Russia,2019,44.7
359,Slovenia,2019,40.1
360,South Africa,2019,30.2
361,OECD - Average,2019,34.0
362,Australia,2010,34.4
363,Austria,2010,28.9
364,Belgium,2010,34.1
365,Canada,2010,36.8
366,Czech Republic,2010,27.7
367,Denmark,2010,21.9
368,Finland,2010,30.4
369,France,2010,38.5
370,Germany,2010,29.9
371,Greece,2010,30.2
372,Hungary,2010,36.5
373,Iceland,2010,34.3
374,Ireland,2010,39.1
375,Italy,2010,32.8
376,Japan,2010,10.4
377,Korea,2010,9.4
378,Luxembourg,2010,24.7
379,Netherlands,2010,28.4
380,Norway,2010,34.4
381,Poland,2010,35.6
382,Portugal,2010,32.3
383,Slovak Republic,2010,34.6
384,Spain,2010,34.3
385,Sweden,2010,31.4
386,Switzerland,2010,33.5
387,Türkiye,2010,10.0
388,United Kingdom,2010,35.7
389,Chile,2010,23.8
390,Costa Rica,2010,30.0
391,Estonia,2010,36.1
392,India,2010,12.2
393,Indonesia,2010,20.9
394,Israel,2010,34.7
395,Latvia,2010,42.1
396,Lithuania,2010,41.1
397,Russia,2010,38.6
398,Slovenia,2010,34.8
399,South Africa,2010,29.6
400,OECD - Average,2010,31.3
401,Australia,2020,40.0
402,Austria,2020,32.8
403,Belgium,2020,34.5
404,Canada,2020,35.8
405,Czech Republic,2020,27.8
406,Denmark,2020,27.9
407,Finland,2020,37.5
408,France,2020,35.5
409,Germany,2020,28.9
410,Greece,2020,29.4
411,Hungary,2020,39.2
412,Iceland,2020,38.6
413,Ireland,2020,36.3
414,Italy,2020,27.3
415,Japan,2020,13.3
416,Korea,2020,15.6
417,Luxembourg,2020,26.3
418,Mexico,2020,38.4
419,Netherlands,2020,26.2
420,Norway,2020,34.0
421,Poland,2020,43.3
422,Portugal,2020,35.7
423,Slovak Republic,2020,35.5
424,Spain,2020,35.0
425,Sweden,2020,42.3
426,Switzerland,2020,33.3
427,Türkiye,2020,18.2
428,United States,2020,41.1
429,Brazil,2020,36.8
430,Chile,2020,27.4
431,Costa Rica,2020,59.4
432,Estonia,2020,37.5
433,India,2020,17.6
434,Indonesia,2020,32.6
435,Latvia,2020,46.9
436,Lithuania,2020,37.9
437,Russia,2020,45.7
438,Slovenia,2020,40.1
439,South Africa,2020,31.4
440,OECD - Average,2020,34.2
441,Austria,2021,35.5
442,Belgium,2021,35.4
443,Canada,2021,35.6
444,Czech Republic,2021,28.4
445,Denmark,2021,28.2
446,Finland,2021,36.5
447,France,2021,37.8
448,Germany,2021,29.2
449,Greece,2021,29.6
450,Hungary,2021,37.3
451,Iceland,2021,37.6
452,Ireland,2021,38.0
453,Italy,2021,28.6
454,Japan,2021,13.2
455,Korea,2021,16.3
456,Luxembourg,2021,21.9
457,Mexico,2021,38.5
458,Netherlands,2021,26.0
459,Norway,2021,33.5
460,Poland,2021,43.0
461,Portugal,2021,38.0
462,Slovak Republic,2021,37.3
463,Spain,2021,33.3
464,Sweden,2021,43.0
465,Switzerland,2021,31.9
466,United States,2021,41.4
467,Brazil,2021,38.7
468,Chile,2021,30.4
469,Costa Rica,2021,40.2
470,Estonia,2021,41.2
471,Indonesia,2021,32.4
472,Latvia,2021,45.9
473,Lithuania,2021,37.0
474,Slovenia,2021,34.0
475,South Africa,2021,31.6
476,OECD - Average,2021,33.7
